date_key,state_key,segment_key,technology_key,provider_key,households_total,households_adopted,adoption_rate,penetration_rate,penetration_gap,avg_mrc_usd,new_starts,downgrades
20230101,AL,URBAN,FIBER,PRV01,53737,41291,0.7684,0.8146,0.0462,74.04,1706,815
20230101,AL,URBAN,FIBER,PRV04,33523,26635,0.7945,0.8694,0.0748,70.08,198,720
20230101,AL,URBAN,DSL,PRV03,12365,7994,0.6465,0.6992,0.0527,64.0,1930,602
20230101,AL,URBAN,FWA,PRV02,18465,12029,0.6515,0.7445,0.093,54.71,986,1055
20230101,AL,SUBURB,FIBER,PRV04,19784,14624,0.7392,0.789,0.0498,53.08,2279,255
20230101,AL,SUBURB,CABLE,PRV02,83244,55549,0.6673,0.7477,0.0804,63.57,1387,1114
20230101,AL,SUBURB,DSL,PRV02,36563,22946,0.6276,0.7115,0.0839,71.98,2268,199
20230101,AL,SUBURB,DSL,PRV04,69158,41823,0.6048,0.7062,0.1014,45.74,1918,1138
20230101,AL,SUBURB,FWA,PRV03,39851,25174,0.6317,0.7146,0.0828,55.07,1503,132
20230101,AL,SUBURB,FWA,PRV04,81449,54963,0.6748,0.7077,0.0328,53.0,881,136
20230101,AL,RURAL,FIBER,PRV01,111739,78787,0.7051,0.7767,0.0716,71.98,1384,1788
20230101,AL,RURAL,FIBER,PRV03,106692,81743,0.7662,0.7979,0.0318,72.16,779,1489
20230101,AL,RURAL,DSL,PRV02,59138,36645,0.6197,0.7239,0.1042,56.19,1602,1276
20230101,AL,RURAL,FWA,PRV01,85145,58562,0.6878,0.8041,0.1163,49.83,220,275
20230101,AL,RURAL,FWA,PRV03,93446,63095,0.6752,0.7271,0.0519,68.29,729,560
20230101,AL,LOW_INC,FIBER,PRV01,34739,24132,0.6947,0.757,0.0623,48.18,1639,1384
20230101,AL,LOW_INC,FIBER,PRV04,61887,39966,0.6458,0.6701,0.0243,87.27,1901,1069
20230101,AL,LOW_INC,CABLE,PRV01,11412,7185,0.6297,0.6704,0.0408,55.76,1146,1056
20230101,AL,LOW_INC,CABLE,PRV04,105090,64940,0.618,0.7191,0.1011,53.82,2065,897
20230101,AL,LOW_INC,DSL,PRV04,88397,51423,0.5817,0.6757,0.0939,42.98,643,1220
20230101,AL,LOW_INC,FWA,PRV01,69063,43228,0.6259,0.6921,0.0662,67.85,488,956
20230101,AL,LOW_INC,FWA,PRV04,79894,48217,0.6035,0.6591,0.0556,77.72,1767,1201
20230101,AL,MID_INC,FIBER,PRV01,105807,80008,0.7562,0.8532,0.097,42.92,1817,781
20230101,AL,MID_INC,FIBER,PRV04,31759,23494,0.7398,0.7861,0.0463,59.81,1709,116
20230101,AL,MID_INC,CABLE,PRV01,48542,32813,0.676,0.7548,0.0788,47.88,737,328
20230101,AL,MID_INC,DSL,PRV02,55887,34614,0.6194,0.7369,0.1176,66.65,827,1605
20230101,AL,MID_INC,DSL,PRV03,11058,6949,0.6285,0.7054,0.0769,63.38,583,958
20230101,AL,MID_INC,DSL,PRV04,49306,31046,0.6297,0.6862,0.0566,60.76,1493,1416
20230101,AL,MID_INC,FWA,PRV04,48015,33770,0.7033,0.731,0.0276,44.89,176,478
20230101,AL,HIGH_INC,FIBER,PRV02,34301,27992,0.8161,0.9277,0.1116,70.1,2136,1352
20230101,AL,HIGH_INC,DSL,PRV04,95028,65139,0.6855,0.793,0.1076,66.12,1294,240
20230201,AL,URBAN,FIBER,PRV02,13172,9507,0.7218,0.7749,0.0531,59.56,1083,1380
20230201,AL,URBAN,FIBER,PRV03,57576,42129,0.7317,0.8405,0.1088,82.98,384,1460
20230201,AL,URBAN,FWA,PRV01,91094,61744,0.6778,0.7488,0.071,74.38,2247,1357
20230201,AL,URBAN,FWA,PRV02,105430,71507,0.6783,0.7303,0.052,67.32,141,1059
20230201,AL,URBAN,FWA,PRV04,51885,34427,0.6635,0.7677,0.1042,64.59,1233,1602
20230201,AL,SUBURB,FIBER,PRV02,14325,10858,0.758,0.7865,0.0285,81.07,1031,1352
20230201,AL,SUBURB,CABLE,PRV03,100591,65983,0.656,0.7653,0.1093,79.83,1044,613
20230201,AL,RURAL,FIBER,PRV03,22320,16413,0.7354,0.8083,0.0729,65.46,1598,1060
20230201,AL,RURAL,FIBER,PRV04,30560,23416,0.7662,0.8012,0.035,75.41,459,212
20230201,AL,RURAL,CABLE,PRV02,34738,23065,0.664,0.7307,0.0668,53.32,1625,618
20230201,AL,RURAL,CABLE,PRV04,65766,44099,0.6705,0.7688,0.0983,86.11,1422,734
20230201,AL,RURAL,DSL,PRV02,42341,28563,0.6746,0.732,0.0574,43.68,2386,1707
20230201,AL,RURAL,FWA,PRV01,101535,69234,0.6819,0.7378,0.056,50.81,2049,1210
20230201,AL,RURAL,FWA,PRV02,27265,19023,0.6977,0.7226,0.0249,60.71,1318,839
20230201,AL,RURAL,FWA,PRV03,42150,27888,0.6616,0.7415,0.0798,46.71,1447,1382
20230201,AL,LOW_INC,CABLE,PRV01,51491,33197,0.6447,0.7252,0.0805,49.9,2014,1177
20230201,AL,LOW_INC,CABLE,PRV03,36443,22052,0.6051,0.6914,0.0863,54.82,1660,1318
20230201,AL,LOW_INC,CABLE,PRV04,45899,26810,0.5841,0.6911,0.107,84.33,1807,727
20230201,AL,LOW_INC,DSL,PRV02,85203,50363,0.5911,0.6674,0.0763,43.11,936,1061
20230201,AL,LOW_INC,DSL,PRV03,19444,12057,0.6201,0.7204,0.1003,53.53,1149,1660
20230201,AL,LOW_INC,DSL,PRV04,33989,19302,0.5679,0.6811,0.1131,83.03,1641,1115
20230201,AL,LOW_INC,FWA,PRV01,13667,8304,0.6076,0.6401,0.0325,46.28,310,1635
20230201,AL,LOW_INC,FWA,PRV02,95972,60247,0.6278,0.6888,0.061,74.0,1383,892
20230201,AL,MID_INC,FIBER,PRV01,105138,79799,0.759,0.801,0.042,69.45,563,142
20230201,AL,MID_INC,FIBER,PRV03,75357,55692,0.739,0.8252,0.0862,55.54,1249,301
20230201,AL,MID_INC,CABLE,PRV02,105735,75641,0.7154,0.7924,0.077,85.48,337,136
20230201,AL,MID_INC,CABLE,PRV03,65924,44869,0.6806,0.7424,0.0618,73.2,1578,87
20230201,AL,MID_INC,DSL,PRV03,83050,55772,0.6716,0.7742,0.1027,80.38,2117,1674
20230201,AL,MID_INC,DSL,PRV04,107106,68038,0.6352,0.6783,0.0431,58.97,381,385
20230201,AL,MID_INC,FWA,PRV02,13623,9276,0.681,0.7506,0.0697,80.9,2301,96
20230201,AL,HIGH_INC,CABLE,PRV02,22841,16115,0.7056,0.742,0.0364,82.56,1814,538
20230201,AL,HIGH_INC,CABLE,PRV04,42453,31190,0.7347,0.7932,0.0585,44.18,250,1081
20230201,AL,HIGH_INC,FWA,PRV01,56133,41297,0.7357,0.8545,0.1188,63.79,855,1097
20230201,AL,HIGH_INC,FWA,PRV03,57192,42392,0.7412,0.8539,0.1127,68.33,1752,523
20230301,AL,URBAN,FIBER,PRV03,47481,36994,0.7791,0.8722,0.093,82.59,1897,368
20230301,AL,URBAN,CABLE,PRV02,37154,24469,0.6586,0.7511,0.0925,68.76,1351,809
20230301,AL,URBAN,DSL,PRV01,72768,47653,0.6549,0.729,0.0741,48.44,796,677
20230301,AL,URBAN,FWA,PRV01,11683,7524,0.644,0.7243,0.0802,81.76,1128,564
20230301,AL,URBAN,FWA,PRV02,74893,51003,0.681,0.7525,0.0715,83.7,1481,691
20230301,AL,URBAN,FWA,PRV03,62549,43715,0.6989,0.7673,0.0684,87.83,1827,1575
20230301,AL,SUBURB,CABLE,PRV02,83560,54398,0.651,0.7242,0.0732,41.95,2358,369
20230301,AL,SUBURB,DSL,PRV01,105375,74807,0.7099,0.7707,0.0608,68.45,492,1586
20230301,AL,SUBURB,DSL,PRV03,22414,15156,0.6762,0.7555,0.0793,88.03,320,440
20230301,AL,SUBURB,DSL,PRV04,99141,63946,0.645,0.7033,0.0582,85.35,451,876
20230301,AL,RURAL,FIBER,PRV04,15454,11513,0.745,0.8285,0.0834,84.36,2253,240
20230301,AL,RURAL,DSL,PRV03,87850,58583,0.6669,0.7316,0.0648,75.63,246,728
20230301,AL,RURAL,DSL,PRV04,87927,56985,0.6481,0.7645,0.1164,56.61,1606,550
20230301,AL,LOW_INC,FIBER,PRV04,58255,40327,0.6923,0.7523,0.06,50.4,897,1388
20230301,AL,LOW_INC,CABLE,PRV01,15069,9543,0.6333,0.7458,0.1124,58.58,2366,1438
20230301,AL,LOW_INC,CABLE,PRV02,16656,10148,0.6093,0.6796,0.0703,61.74,1995,973
20230301,AL,LOW_INC,CABLE,PRV03,109708,68682,0.626,0.7378,0.1118,86.88,476,1612
20230301,AL,LOW_INC,DSL,PRV03,27885,16363,0.5868,0.632,0.0452,85.43,2378,1092
20230301,AL,LOW_INC,DSL,PRV04,114658,66541,0.5803,0.6575,0.0772,58.71,748,95
20230301,AL,LOW_INC,FWA,PRV03,118919,73591,0.6188,0.6883,0.0694,77.71,312,1194
20230301,AL,MID_INC,CABLE,PRV02,73954,48834,0.6603,0.758,0.0977,60.37,775,1369
20230301,AL,MID_INC,FWA,PRV01,110398,71673,0.6492,0.6991,0.0499,51.53,2285,1619
20230301,AL,HIGH_INC,FIBER,PRV01,52743,44904,0.8514,0.8729,0.0216,84.99,1170,134
20230301,AL,HIGH_INC,CABLE,PRV02,90034,66688,0.7407,0.8549,0.1142,88.76,2090,344
20230301,AL,HIGH_INC,FWA,PRV03,92519,66789,0.7219,0.7836,0.0617,53.38,2298,1240
20230401,AL,URBAN,FIBER,PRV01,25866,20870,0.8069,0.8993,0.0924,43.44,1968,1086
20230401,AL,URBAN,FIBER,PRV04,77880,59688,0.7664,0.8728,0.1063,73.74,1027,356
20230401,AL,URBAN,CABLE,PRV02,77714,51972,0.6688,0.7672,0.0984,81.02,288,185
